post_type,post_title,post_status,sku,parent_sku,regular_price,sale_price,manage_stock,stock_quantity,categories,description,short_description,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_opengraph-title,meta:_yoast_wpseo_opengraph-description,meta:_yoast_wpseo_twitter-title,meta:_yoast_wpseo_twitter-description,images,gallery_images,gallery_image_alt,image_filename,image_titles,image_alt,sale_tag,attribute:color,attribute_name:color,attribute:application,attribute_name:application,attribute:closure-style,attribute_name:closure-style,attribute:lining-material,attribute_name:lining-material,attribute:long-strap,attribute_name:long-strap,attribute:number-of-inside-pockets,attribute_name:number-of-inside-pockets,attribute:number-of-outside-pockets,attribute_name:number-of-outside-pockets,attribute:number-of-straps,attribute_name:number-of-straps,attribute:outer-material,attribute_name:outer-material,attribute:dimention,attribute_name:dimention
product,کوله پشتی کد ۹۰۰۰,publish,9000,,912000,775000.0,yes,10,کوله پشتی,,,کوله پشتی کد 9000,خرید کوله پشتی کد 9000 به رنگ سفید MK درشت و سفید MK ریز و سفید چهارخونه با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کوله پشتی کد 9000,https://luxbaz.com/product/backpack-9000/,کوله پشتی کد 9000 | خرید آنلاین,خرید کوله پشتی کد 9000 به رنگ سفید MK درشت و سفید MK ریز و سفید چهارخونه با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کوله پشتی کد 9000,خرید کوله پشتی کد 9000 به رنگ سفید MK درشت و سفید MK ریز و سفید چهارخونه با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-black-checkered-hot-stamped.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-black-louis-vuitton-hot-stamped.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-black-lizard-pattern.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-01.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-02.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-03.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-04.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-05.webp,کوله پشتی کد 9000|کوله پشتی کد 9000 رنگ black checkered - hot stamped|کوله پشتی کد 9000 رنگ black louis vuitton - hot stamped|کوله پشتی کد 9000 رنگ black lizard pattern|کوله پشتی کد 9000 - نمای 01|کوله پشتی کد 9000 - نمای 02|کوله پشتی کد 9000 - نمای 03|کوله پشتی کد 9000 - نمای 04|کوله پشتی کد 9000 - نمای 05,backpack-9000-main.webp|backpack-9000-black-checkered-hot-stamped.webp|backpack-9000-black-louis-vuitton-hot-stamped.webp|backpack-9000-black-lizard-pattern.webp|backpack-9000-01.webp|backpack-9000-02.webp|backpack-9000-03.webp|backpack-9000-04.webp|backpack-9000-05.webp,,کوله پشتی کد 9000,تخفیف خورده ها,سفید MK درشت|سفید MK ریز|سفید چهارخونه|سفید دیور|عسلی فندی|قهوه ای لویی ویتون درشت|قهوه ای لویی ویتون ریز|کرم چهارخونه|کرم گوچی ریز|مشکی چهارخونه داغی|مشکی لویی ویتون داغی|مشکی لیزارد,رنگ,اسپرت,کاربرد,زیپ,نحوه بسته شدن کیف,ساتن,جنس آستر,دارد,بند بلند,1.0,تعداد جیب داخلی,2,تعداد جیب بیرونی,2,تعداد بند,چرم مصنوعی,جنس رویه,طول: ۳۰cm|عرض: ۱۰cm|کف: ۲۵cm,dimention
product_variation,,publish,9000-white michael kors - large logo,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - سفید MK درشت,کوله پشتی کد ۹۰۰۰ - سفید MK درشت,,سفید MK درشت,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-white michael kors - small logo,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - سفید MK ریز,کوله پشتی کد ۹۰۰۰ - سفید MK ریز,,سفید MK ریز,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-white checkered,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - سفید چهارخونه,کوله پشتی کد ۹۰۰۰ - سفید چهارخونه,,سفید چهارخونه,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-white dior,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - سفید دیور,کوله پشتی کد ۹۰۰۰ - سفید دیور,,سفید دیور,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-honey fendi,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - عسلی فندی,کوله پشتی کد ۹۰۰۰ - عسلی فندی,,عسلی فندی,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-brown louis vuitton - large logo,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - قهوه ای لویی ویتون درشت,کوله پشتی کد ۹۰۰۰ - قهوه ای لویی ویتون درشت,,قهوه ای لویی ویتون درشت,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-brown louis vuitton - small logo,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - قهوه ای لویی ویتون ریز,کوله پشتی کد ۹۰۰۰ - قهوه ای لویی ویتون ریز,,قهوه ای لویی ویتون ریز,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-cream checkered,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - کرم چهارخونه,کوله پشتی کد ۹۰۰۰ - کرم چهارخونه,,کرم چهارخونه,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-cream gucci - small logo,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-main.webp,,,backpack-9000-main.webp,کوله پشتی کد ۹۰۰۰ - کرم گوچی ریز,کوله پشتی کد ۹۰۰۰ - کرم گوچی ریز,,کرم گوچی ریز,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9000-black checkered - hot stamped,9000,912000,775000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9000-black-checkered-hot-stamped.webp,,,backpack-9000-black-checkered-hot-stamped.webp,کوله پشتی کد ۹۰۰۰ - مشکی چهارخونه داغی,کوله پشتی کد ۹۰۰۰ - مشکی چهارخونه داغی,,مشکی چهارخونه داغی,رنگ,,,,,,,,,,,,,,,,,,
